n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
7104,94,3693,95,3222,0.533079954954955,0.4973544973544973,0.028347406513872134,0.053637660485021395,0.5340563991323211,0.9749208025343189,0.6900868915257403,0.39300557816270204,0.02660472972972973,logistic_regression,0.62
7104,77,3707,81,3239,0.5326576576576577,0.4873417721518987,0.023220747889022918,0.04432930339666091,0.5336884537863519,0.9786166842661035,0.6907024408421838,0.3889888535998761,0.02224099099099099,logistic_regression,0.63
7104,65,3715,73,3251,0.5320945945945946,0.47101449275362317,0.019601930036188178,0.03763752171395483,0.5333046224519092,0.9807286166842661,0.6909057095034407,0.38597365563098357,0.019425675675675675,logistic_regression,0.64
7104,54,3728,60,3262,0.5323761261261262,0.47368421052631576,0.016284680337756333,0.03148688046647231,0.5333333333333333,0.9841605068637803,0.6917795509370941,0.38356861410142656,0.016047297297297296,logistic_regression,0.65
7104,3234,171,3617,82,0.47930743243243246,0.47204787622244926,0.9752714113389626,0.6361758630864561,0.6758893280632411,0.04514255543822598,0.08463251670378619,0.3420815224195708,0.9643862612612613,random_forest,0.35
7104,3189,272,3516,127,0.4871903153153153,0.4756152125279642,0.9617008443908324,0.6364634268037122,0.681704260651629,0.07180570221752904,0.12992596130881298,0.3663671543804748,0.9438344594594594,random_forest,0.36
7104,3106,414,3374,210,0.4954954954954955,0.47932098765432096,0.9366706875753921,0.634136382196815,0.6634615384615384,0.10929250263991552,0.18766999093381687,0.39607125126997983,0.9121621621621622,random_forest,0.37
7104,3044,540,3248,272,0.5045045045045045,0.4837889383343929,0.9179734620024126,0.633638634471274,0.6650246305418719,0.14255543822597677,0.23478260869565215,0.4209603369433946,0.8856981981981982,random_forest,0.38
7104,2995,631,3157,321,0.5104166666666666,0.4868335500650195,0.9031966224366706,0.6326573722010984,0.6628151260504201,0.16657866948257655,0.26624472573839664,0.43727855677306987,0.865990990990991,random_forest,0.39
7104,2951,706,3082,365,0.5147804054054054,0.48914304657715896,0.8899276236429433,0.6312974649695154,0.6591970121381886,0.1863780359028511,0.29059477258695204,0.44962772978579496,0.8492398648648649,random_forest,0.4
7104,2886,780,3008,430,0.5160472972972973,0.4896504920257889,0.8703256936067552,0.6267100977198697,0.6446280991735537,0.20591341077085534,0.31212484993997597,0.45896672517056825,0.8296734234234234,random_forest,0.41
7104,2820,883,2905,496,0.5212556306306306,0.4925764192139738,0.850422195416164,0.6238247981417985,0.640319071791153,0.23310454065469904,0.3417844010063867,0.47343501430889584,0.805884009009009,random_forest,0.42
7104,2751,948,2840,565,0.5206925675675675,0.4920407798247183,0.8296139927623642,0.6177164028292355,0.6265697290152016,0.2502639915522703,0.3576683644595359,0.4790534003877347,0.7870213963963963,random_forest,0.43
7104,2685,1016,2772,631,0.5209740990990991,0.4920285871357889,0.8097104945717732,0.6121053231505756,0.6168791742562234,0.2682154171066526,0.37387304507819685,0.4850749361378827,0.7681587837837838,random_forest,0.44
7104,2598,1077,2711,718,0.5173141891891891,0.48935769448106986,0.7834740651387213,0.6024347826086957,0.6,0.2843189017951426,0.385814078452445,0.48692813461546963,0.7473254504504504,random_forest,0.45
7104,2478,1196,2592,838,0.5171734234234234,0.4887573964497041,0.747285886610374,0.5909849749582639,0.5880039331366765,0.31573389651531153,0.41085537615939544,0.494936140463597,0.7136824324324325,random_forest,0.46
7104,2240,1449,2339,1076,0.5192849099099099,0.48918977942782266,0.6755126658624849,0.5674477517416086,0.5738613861386138,0.38252375923970433,0.45905274829716464,0.5096492898824372,0.6445664414414415,random_forest,0.47
7104,1900,1813,1975,1416,0.5226632882882883,0.49032258064516127,0.5729794933655006,0.5284383256848838,0.5614741406008052,0.4786166842661035,0.5167450477412,0.5222032275921651,0.5454673423423423,random_forest,0.48
7104,1495,2250,1538,1821,0.5271677927927928,0.4929113089350478,0.4508443908323281,0.47094030555993066,0.552689756816507,0.5939809926082366,0.57259193281588,0.525143059507782,0.42694256756756754,random_forest,0.49
7104,1117,2638,1150,2199,0.5285754504504504,0.49272165857962064,0.3368516284680338,0.40014329213684396,0.545379367376473,0.6964097148891235,0.6117101449275363,0.5129551218625116,0.31911599099099097,random_forest,0.5
7104,775,3057,731,2541,0.5394144144144144,0.5146082337317397,0.23371531966224365,0.3214433844877644,0.5460878885316184,0.8070221752903907,0.6513956957170254,0.49738079368489846,0.21199324324324326,random_forest,0.51
